timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
i.49.calc,     1511,     1794,     1938,     1898,     1779,     1649,     1525,     1409,     1302,     1202,     1111,     1026,      948,      876,      809,      748,      691,      638,      590,      545,      503,      465,      429,      397,      367,      339,      313,      289,      267,      247,      228,      211,      195,      180,      166,      153,      142,      131,      121,      112,      103,       95,       88,       81,       75,       69,       64,       59,       55,       51,       47,       43,       40,       37,       34,       31,       29,       27,       25,       23,       21,       20,       18,       17,       15,       14,       13,       12,       11,       10,       10,        9,        8,        8,        7,        6,        6,        6,        5,        5,        4,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.2.calc,      646,      603,      580,      569,      561,      554,      548,      542,      537,      532,      527,      523,      519,      515,      512,      508,      505,      502,      500,      497,      494,      492,      490,      488,      486,      484,      482,      481,      479,      478,      476,      475,      474,      473,      472,      471,      470,      469,      468,      467,      466,      465,      465,      464,      463,      463,      462,      462,      461,      461,      460,      460,      459,      459,      458,      458,      458,      457,      457,      457,      456,      456,      456,      456,      455,      455,      455,      455,      455,      454,      454,      454,      454,      454,      454,      454,      453,      453,      453,      453,      453,      453,      453,      453,      453,      453,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      452,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      451,      450,      450,      450,      450,      450,      450,      450,      450,      450,      449,      449,      449,      449,      449,      448,      448,      448,      447,      447,      446,      446,      446,      445,      444,      444,      443,      442,      441,      440,      439,      438,      437,      435,      434,      432,      430,      428,      426,      423,      420,      417,      414,      410,      406,      402,      397,      392,      386,      380,      373,      365,      357,      348,      338,      328,      317,      304,      291,      277,      262,      245,      228,      210,      192,      172,      153,      134,      114,       96,       79,       64,       51,       39,       30,       23,       17,       13,        9
i.3.calc,      600,      579,      574,      577,      581,      586,      589,      591,      591,      590,      588,      583,      577,      569,      558,      545,      530,      512,      491,      467,      440,      410,      377,      342,      303,      263,      221,      179,      138,      100,       68,       44,       26,       15,        8,        5,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.55.calc,      739,      397,      135,       31,        7,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        3,        3,        3,        3,        4,        4,        4,        5,        5,        6,        7,        7,        8,        9,       10,       11,       12,       13,       14,       15,       17,       19,       20,       22,       25,       27,       30,       33,       36,       39,       43,       47,       52,       57,       62,       68,       75,       82,       89,       97,      106,      116,      126,      137,      149,      162,      176,      190,      205,      221,      237,      254,      271,      287,      304,      319,      334,      346,      357,      365,      370,      373,      374,      372,      368,      362,      356
i.4.calc,      596,      557,      536,      526,      520,      515,      511,      507,      502,      496,      489,      481,      471,      460,      448,      434,      419,      401,      382,      361,      338,      313,      286,      258,      227,      196,      164,      132,      101,       74,       50,       32,       19,       11,        6,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
i.5.calc,     1427,     1337,     1265,     1206,     1159,     1120,     1087,     1059,     1034,     1012,      992,      974,      957,      942,      928,      915,      903,      891,      881,      871,      861,      853,      844,      837,      829,      822,      816,      809,      803,      798,      792,      787,      782,      777,      773,      768,      764,      761,      757,      753,      750,      747,      744,      741,      738,      735,      733,      730,      728,      726,      724,      722,      720,      718,      716,      714,      713,      711,      710,      708,      707,      705,      704,      703,      702,      700,      699,      698,      697,      696,      695,      694,      693,      692,      691,      690,      689,      689,      688,      687,      686,      686,      685,      684,      683,      683,      682,      681,      681,      680,      680,      679,      678,      678,      677,      677,      676,      675,      675,      674,      674,      673,      673,      672,      672,      671,      671,      670,      670,      669,      669,      668,      668,      667,      667,      667,      666,      666,      665,      665,      664,      664,      663,      663,      662,      662,      662,      661,      661,      660,      660,      659,      659,      658,      658,      657,      657,      656,      656,      655,      655,      654,      654,      653,      653,      652,      652,      651,      651,      650,      650,      649,      648,      648,      647,      647,      646,      645,      645,      644,      643,      642,      641,      641,      640,      639,      638,      637,      636,      634,      633,      632,      631,      629,      628,      626,      624,      622,      620,      618,      616,      613,      610,      607,      604,      601,      597,      593,      588,      583,      578,      572,      566,      559,      552,      544,      535,      526,      515,      504,      491,      477
i.83.calc,      233,      251,      269,      289,      311,      334,      358,      385,      414,      444,      477,      512,      550,      590,      633,      679,      727,      779,      834,      891,      952,     1015,     1081,     1149,     1217,     1286,     1353,     1417,     1473,     1520,     1554,     1573,     1577,     1569,     1553,     1532,     1507,     1482,     1456,     1430,     1404,     1379,     1354,     1329,     1305,     1281,     1258,     1235,     1213,     1190,     1169,     1147,     1126,     1106,     1086,     1066,     1047,     1027,     1009,      990,      972,      955,      937,      920,      903,      887,      871,      855,      839,      824,      809,      794,      780,      765,      751,      738,      724,      711,      698,      685,      673,      661,      649,      637,      625,      614,      603,      592,      581,      570,      560,      550,      540,      530,      520,      511,      501,      492,      483,      474,      466,      457,      449,      441,      433,      425,      417,      409,      402,      395,      387,      380,      373,      367,      360,      353,      347,      341,      334,      328,      322,      316,      311,      305,      299,      294,      289,      283,      278,      273,      268,      263,      259,      254,      249,      245,      240,      236,      231,      227,      223,      219,      215,      211,      207,      204,      200,      196,      193,      189,      186,      182,      179,      176,      172,      169,      166,      163,      160,      157,      154,      152,      149,      146,      143,      141,      138,      136,      133,      131,      128,      126,      124,      122,      119,      117,      115,      113,      111,      109,      107,      105,      103,      101,       99,       97,       96,       94,       92,       91,       89,       87,       86,       84,       83,       81,       80,       78,       77,       75,       74,       73
i.82.calc,      525,      430,      330,      236,      157,       97,       57,       33,       19,       11,        7,        4,        2,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        2,        3,        3,        3,        4,        4,        4,        5,        5,        6,        6,        7,        7,        8,        9,       10,       11,       12,       13,       14,       15,       17,       18,       20,       22,       24,       26,       29,       32,       35,       38,       42,       46,       50,       55,       60,       66,       72,       79,       87,       95,      104,      114,      126,      138,      151,      165,      181,      199,      218,      239,      262,      287,      314,      344,      377,      413,      453,      496,      544,      596,      652,      714,      782,      856,      937
i.7.calc,      639,      651,      666,      683,      704,      726,      751,      778,      806,      835,      865,      895,      927,      958,      991,     1024,     1057,     1091,     1126,     1160,     1196,     1231,     1267,     1303,     1339,     1375,     1412,     1448,     1485,     1521,     1558,     1594,     1630,     1666,     1702,     1737,     1773,     1807,     1842,     1875,     1909,     1942,     1974,     2006,     2037,     2068,     2098,     2127,     2156,     2184,     2211,     2237,     2263,     2289,     2313,     2337,     2360,     2382,     2404,     2425,     2446,     2465,     2484,     2503,     2520,     2537,     2554,     2570,     2585,     2600,     2614,     2627,     2640,     2653,     2665,     2677,     2688,     2698,     2709,     2718,     2728,     2737,     2745,     2753,     2761,     2769,     2776,     2783,     2789,     2796,     2802,     2807,     2813,     2818,     2823,     2828,     2832,     2837,     2841,     2845,     2849,     2852,     2856,     2859,     2862,     2865,     2868,     2870,     2873,     2875,     2878,     2880,     2882,     2884,     2886,     2888,     2889,     2891,     2893,     2894,     2895,     2897,     2898,     2899,     2900,     2901,     2902,     2903,     2904,     2905,     2906,     2907,     2907,     2908,     2909,     2909,     2910,     2910,     2911,     2911,     2911,     2912,     2912,     2912,     2912,     2912,     2912,     2912,     2912,     2912,     2912,     2912,     2911,     2911,     2911,     2910,     2910,     2909,     2908,     2907,     2906,     2905,     2904,     2902,     2900,     2899,     2897,     2894,     2892,     2889,     2886,     2883,     2879,     2875,     2871,     2866,     2860,     2855,     2848,     2841,     2833,     2825,     2815,     2805,     2793,     2781,     2767,     2752,     2735,     2717,     2697,     2675,     2650,     2624,     2594,     2562,     2526,     2487,     2444,     2396,     2344,     2286
i.74.calc,      924,     1016,     1097,     1162,     1201,     1212,     1200,     1170,     1130,     1085,     1039,      992,      947,      902,      860,      819,      781,      743,      708,      674,      642,      612,      582,      555,      528,      503,      479,      456,      434,      414,      394,      375,      357,      340,      324,      309,      294,      280,      266,      254,      242,      230,      219,      209,      199,      189,      180,      172,      163,      156,      148,      141,      134,      128,      122,      116,      110,      105,      100,       95,       91,       87,       82,       78,       75,       71,       68,       65,       61,       59,       56,       53,       51,       48,       46,       44,       42,       40,       38,       36,       34,       33,       31,       30,       28,       27,       25,       24,       23,       22,       21,       20,       19,       18,       17,       16,       16,       15,       14,       14,       13,       12,       12,       11,       11,       10,       10,        9,        9,        8,        8,        8,        7,        7,        6,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        3
