,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
African Marsh Owl [49],     1511,     1811,     2014,     2028,     1919,     1783,     1650,     1525,     1409,     1302,     1203,     1111,     1027,      948,      876,      809,      748,      691,      638,      590,      545,      503,      465,      430,      397,      367,      339,      313,      289,      267,      247,      228,      211,      195,      180,      166,      153,      142,      131,      121,      112,      103,       95,       88,       81,       75,       69,       64,       59,       55,       51,       47,       43,       40,       37,       34,       31,       29,       27,       25,       23,       21,       20,       18,       17,       15,       14,       13,       12,       11,       10,       10,        9,        8,        8,        7,        6,        6,        6,        5,        5,        4,        4,        4,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        2,        2,        2,        2,        2,        2,        2,        3,        3,        3,        4,        4,        5,        5,        6,        6,        7,        7,        8,        8,        9,        9,       10,       10,       10,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       10,       10,       10,        9,        9,        9,        8,        8,        8,        7,        7,        7,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Plant Juices [2],      646,      570,      531,      517,      513,      512,      511,      511,      510,      510,      509,      509,      508,      508,      507,      507,      507,      506,      506,      506,      505,      505,      505,      505,      504,      504,      504,      504,      504,      503,      503,      503,      503,      503,      503,      503,      502,      502,      502,      502,      502,      502,      502,      502,      502,      502,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      501,      500,      500,      500,      500,      500,      500,      500,      500,      500,      500,      500,      499,      499,      499,      499,      498,      498,      497,      497,      496,      495,      494,      493,      491,      489,      486,      483,      479,      474,      468,      461,      453,      442,      430,      414,      396,      373,      347,      316,      280,      240,      196,      150,      106,       68,       40,       22,       12,        6,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Fruits and Nectar [3],      600,      543,      515,      508,      510,      512,      514,      515,      514,      511,      507,      501,      493,      483,      470,      455,      438,      418,      396,      371,      343,      313,      282,      248,      213,      179,      145,      113,       85,       61,       42,       28,       18,       11,        7,        5,        3,        2,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Greater Bushbaby [55],      739,      469,      199,       53,       12,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        2,        2,        3,        3,        4,        5,        6,        7,        9,       11,       13,       16,       20,       25,       30,       37,       45,       55,       67,       81,       98,      118,      141,      169,      199,      233,      268,      302,      332,      353,      361,      359,      349,      334,      317,      299,      282,      265,      249,      234,      220,      206,      193,      181,      169,      159,      148,      139,      130,      121,      113,      106,       99,       92,       86,       81,       75,       70,       66,       62,       58,       54,       50,       47,       44,       41,       39,       36,       34,       32,       30,       28,       26,       24,       23,       22,       20,       19,       18,       17,       16,       15,       14,       13,       12,       12,       11,       10,       10,        9,        8,        8,        8,        7,        7,        6,        6,        6,        5,        5,        5,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1
Grains and Seeds [4],      596,      521,      477,      455,      440,      427,      414,      401,      387,      372,      357,      341,      325,      309,      292,      275,      258,      240,      221,      203,      184,      165,      145,      126,      107,       88,       71,       55,       40,       29,       20,       13,        8,        5,        3,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Grass and Herbs [5],     1427,     1334,     1253,     1182,     1119,     1063,     1012,      967,      926,      889,      855,      825,      797,      772,      750,      729,      711,      695,      681,      669,      658,      649,      641,      635,      630,      626,      623,      621,      620,      620,      619,      620,      621,      622,      623,      624,      626,      627,      629,      631,      632,      634,      636,      637,      639,      640,      642,      643,      645,      646,      647,      648,      650,      651,      652,      653,      654,      655,      656,      656,      657,      658,      659,      659,      660,      661,      661,      662,      662,      663,      663,      663,      664,      664,      665,      665,      665,      665,      666,      666,      666,      666,      666,      666,      666,      667,      667,      667,      667,      667,      667,      667,      667,      667,      667,      666,      666,      666,      666,      666,      666,      666,      666,      666,      665,      665,      665,      665,      665,      664,      664,      664,      664,      664,      663,      663,      663,      663,      662,      662,      662,      661,      661,      661,      661,      660,      660,      660,      659,      659,      659,      658,      658,      658,      657,      657,      657,      656,      656,      656,      655,      655,      655,      654,      654,      653,      653,      653,      652,      652,      652,      651,      651,      650,      650,      650,      649,      649,      648,      648,      647,      647,      647,      646,      646,      645,      645,      644,      644,      644,      643,      643,      642,      642,      641,      641,      640,      640,      639,      639,      638,      638,      637,      637,      636,      636,      635,      635,      634,      634,      633,      633,      632,      632,      631,      631,      630,      630,      629,      629,      628,      628
Bush Pig [83],      233,      250,      269,      288,      309,      331,      354,      379,      406,      434,      465,      497,      531,      567,      605,      646,      688,      732,      778,      825,      874,      924,      974,     1024,     1072,     1117,     1157,     1192,     1218,     1236,     1245,     1245,     1238,     1226,     1210,     1193,     1174,     1154,     1134,     1114,     1094,     1074,     1055,     1036,     1017,      998,      980,      962,      945,      928,      911,      894,      878,      862,      846,      831,      816,      801,      786,      772,      758,      744,      730,      717,      704,      691,      679,      666,      654,      642,      630,      619,      608,      597,      586,      575,      564,      554,      544,      534,      524,      515,      505,      496,      487,      478,      470,      461,      453,      444,      436,      428,      421,      413,      405,      398,      391,      384,      377,      370,      363,      356,      350,      343,      337,      331,      325,      319,      313,      308,      302,      296,      291,      286,      281,      275,      270,      265,      261,      256,      251,      247,      242,      238,      233,      229,      225,      221,      217,      213,      209,      205,      201,      198,      194,      191,      187,      184,      180,      177,      174,      171,      168,      165,      162,      159,      156,      153,      150,      147,      145,      142,      139,      137,      134,      132,      130,      127,      125,      123,      120,      118,      116,      114,      112,      110,      108,      106,      104,      102,      100,       98,       97,       95,       93,       91,       90,       88,       86,       85,       83,       82,       80,       79,       77,       76,       75,       73,       72,       71,       69,       68,       67,       66,       64,       63,       62,       61,       60,       59,       58,       57
Bohor Reedbuck [82],      525,      530,      533,      534,      534,      532,      528,      523,      515,      506,      494,      480,      464,      446,      426,      404,      380,      355,      328,      301,      274,      246,      219,      193,      169,      146,      125,      106,       89,       75,       62,       52,       43,       35,       29,       24,       20,       16,       13,       11,        9,        8,        6,        5,        5,        4,        3,        3,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1
Baobab [7],      639,      650,      660,      669,      677,      686,      694,      701,      708,      716,      723,      730,      738,      746,      755,      764,      774,      785,      797,      810,      824,      840,      858,      877,      897,      919,      943,      968,      994,     1022,     1051,     1081,     1112,     1144,     1177,     1210,     1244,     1279,     1314,     1349,     1385,     1421,     1457,     1493,     1529,     1565,     1601,     1637,     1673,     1708,     1743,     1778,     1813,     1847,     1881,     1914,     1947,     1979,     2011,     2042,     2072,     2102,     2131,     2160,     2187,     2215,     2241,     2267,     2292,     2316,     2340,     2363,     2385,     2407,     2428,     2448,     2468,     2487,     2505,     2523,     2540,     2556,     2572,     2587,     2602,     2616,     2629,     2642,     2655,     2667,     2678,     2689,     2700,     2710,     2720,     2729,     2738,     2746,     2754,     2762,     2770,     2777,     2784,     2790,     2796,     2802,     2808,     2814,     2819,     2824,     2828,     2833,     2837,     2841,     2845,     2849,     2853,     2856,     2859,     2862,     2865,     2868,     2871,     2873,     2876,     2878,     2880,     2882,     2884,     2886,     2888,     2890,     2891,     2893,     2895,     2896,     2897,     2899,     2900,     2901,     2902,     2903,     2904,     2905,     2906,     2907,     2908,     2909,     2909,     2910,     2911,     2911,     2912,     2912,     2913,     2914,     2914,     2915,     2915,     2915,     2916,     2916,     2917,     2917,     2917,     2918,     2918,     2918,     2918,     2919,     2919,     2919,     2919,     2920,     2920,     2920,     2920,     2920,     2921,     2921,     2921,     2921,     2921,     2921,     2921,     2921,     2921,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922,     2922
African Wild Dog [74],      924,      953,      984,     1015,     1048,     1081,     1116,     1151,     1187,     1224,     1261,     1298,     1336,     1374,     1412,     1448,     1484,     1519,     1552,     1583,     1612,     1637,     1660,     1679,     1694,     1705,     1712,     1715,     1714,     1710,     1703,     1693,     1681,     1667,     1651,     1634,     1615,     1596,     1577,     1556,     1536,     1515,     1495,     1474,     1453,     1433,     1412,     1392,     1372,     1352,     1333,     1313,     1294,     1275,     1256,     1238,     1219,     1201,     1184,     1166,     1149,     1132,     1115,     1099,     1082,     1066,     1050,     1035,     1019,     1004,      989,      975,      960,      946,      932,      918,      904,      891,      878,      865,      852,      839,      827,      814,      802,      790,      778,      767,      755,      744,      733,      722,      712,      701,      690,      680,      670,      660,      650,      641,      631,      622,      612,      603,      594,      586,      577,      568,      560,      551,      543,      535,      527,      519,      512,      504,      496,      489,      482,      475,      468,      461,      454,      447,      440,      434,      427,      421,      415,      409,      402,      396,      391,      385,      379,      373,      368,      362,      357,      352,      346,      341,      336,      331,      326,      321,      317,      312,      307,      303,      298,      294,      289,      285,      281,      277,      273,      269,      265,      261,      257,      253,      249,      245,      242,      238,      235,      231,      228,      224,      221,      218,      214,      211,      208,      205,      202,      199,      196,      193,      190,      187,      185,      182,      179,      177,      174,      171,      169,      166,      164,      161,      159,      157,      154,      152,      150,      148,      146,      143,      141,      139
