,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
African Marsh Owl [49],     1511,     1860,     1972,     1852,     1685,     1527,     1382,     1250,     1131,     1024,      926,      838,      758,      686,      621,      562,      508,      460,      416,      377,      341,      308,      279,      252,      228,      207,      187,      169,      153,      139,      125,      113,      103,       93,       84,       76,       69,       62,       56,       51,       46,       42,       38,       34,       31,       28,       25,       23,       21,       19,       17,       15,       14,       13,       11,       10,        9,        8,        8,        7,        6,        6,        5,        5,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        2,        2,        3,        4,        5,        6,        7,        8,       10,       12,       14,       17,       20,       23,       26,       30,       33,       37,       41,       44,       47,       50,       53,       55,       57,       58,       58,       58,       58,       57,       55,       54,       52,       49,       47,       45,       42,       40,       37,       35,       32,       30,       28,       26,       24,       22,       20,       19,       17,       16,       15,       13,       12,       11,       10,        9,        9,        8,        7,        7,        6,        5,        5,        5,        4,        4,        3,        3,        3,        3,        2,        2,        2,        2,        2,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0
Plant Juices [2],      646,      602,      592,      597,      605,      613,      621,      628,      636,      643,      651,      657,      664,      671,      677,      683,      689,      695,      701,      706,      711,      716,      721,      726,      730,      734,      739,      743,      746,      750,      754,      757,      760,      763,      767,      769,      772,      775,      777,      780,      782,      784,      786,      788,      790,      792,      794,      796,      797,      799,      800,      802,      803,      804,      806,      807,      808,      809,      810,      811,      812,      813,      813,      814,      815,      816,      816,      817,      817,      818,      818,      819,      819,      819,      820,      820,      820,      820,      820,      819,      819,      818,      817,      816,      815,      813,      810,      807,      804,      799,      794,      787,      778,      768,      756,      740,      722,      700,      672,      640,      601,      554,      498,      433,      359,      277,      192,      114,       55,       22,        8,        3,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Fruits and Nectar [3],      600,      562,      554,      559,      565,      570,      573,      575,      574,      571,      565,      555,      540,      522,      501,      478,      453,      425,      395,      363,      330,      296,      261,      226,      192,      159,      129,      102,       79,       59,       44,       32,       23,       16,       12,        8,        6,        4,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Greater Bushbaby [55],      739,      340,       76,       11,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        2,        2,        3,        3,        4,        5,        5,        7,        8,       10,       12,       15,       18,       22,       27,       32,       39,       48,       58,       70,       85,      104,      125,      151,      183,      220,      263,      314,      372,      436,      505,      571,      625,      656,      657,      639,      612,      584,      555,      527,      499,      473,      447,      423,      399,      375,      353,      331,      309,      288,      267,      248,      228,      210,      192,      175,      159,      144,      130,      117,      105,       94,       85,       76,       68,       61,       55,       50,       45,       40,       37,       33,       30,       28,       25,       23,       21,       20,       18,       17,       16,       15,       14,       13,       12,       11,       10,       10,        9,        9,        8,        8,        7,        7,        6,        6,        6,        5,        5,        5,        5,        4,        4,        4,        4,        4,        3,        3,        3,        3,        3,        3,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        1,        1
Grains and Seeds [4],      596,      529,      490,      461,      429,      394,      353,      307,      257,      201,      143,       84,       33,        6,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Grass and Herbs [5],     1427,     1339,     1252,     1163,     1072,      977,      876,      768,      651,      522,      383,      236,       99,       18,        2,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1
Bush Pig [83],      233,      250,      268,      287,      308,      330,      353,      377,      403,      429,      457,      486,      515,      545,      576,      608,      640,      674,      708,      742,      776,      810,      842,      872,      900,      924,      944,      959,      970,      975,      975,      971,      964,      954,      943,      930,      916,      901,      887,      872,      857,      842,      827,      813,      798,      784,      770,      756,      743,      730,      717,      704,      691,      679,      667,      655,      643,      632,      620,      609,      598,      588,      577,      567,      557,      547,      537,      527,      518,      509,      500,      491,      482,      473,      465,      456,      448,      440,      432,      425,      417,      410,      402,      395,      388,      381,      374,      368,      361,      355,      348,      342,      336,      330,      324,      318,      312,      307,      301,      296,      291,      285,      280,      275,      270,      266,      261,      256,      252,      247,      243,      238,      234,      230,      226,      222,      218,      214,      210,      206,      203,      199,      195,      192,      188,      185,      182,      179,      175,      172,      169,      166,      163,      160,      157,      155,      152,      149,      146,      144,      141,      139,      136,      134,      131,      129,      127,      124,      122,      120,      118,      116,      114,      112,      110,      108,      106,      104,      102,      100,       98,       97,       95,       93,       92,       90,       88,       87,       85,       84,       82,       81,       79,       78,       76,       75,       74,       72,       71,       70,       69,       67,       66,       65,       64,       63,       62,       60,       59,       58,       57,       56,       55,       54,       53,       52,       51,       50,       50,       49
Bohor Reedbuck [82],      525,      588,      659,      740,      832,      937,     1055,     1189,     1338,     1503,     1679,     1855,     1991,     1999,     1877,     1727,     1578,     1432,     1291,     1154,     1023,      896,      776,      663,      557,      460,      373,      296,      231,      176,      131,       96,       70,       50,       36,       25,       18,       12,        9,        6,        4,        3,        2,        2,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
Baobab [7],      639,      632,      619,      601,      577,      546,      506,      456,      396,      325,      242,      151,       64,       12,        1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        1,        2,        2,        2,        2,        2,        2,        2,        2,        2,        2,        3,        3,        3,        3,        3,        3
African Wild Dog [74],      924,      947,      973,     1002,     1033,     1067,     1105,     1146,     1190,     1239,     1291,     1347,     1407,     1470,     1535,     1602,     1671,     1740,     1809,     1878,     1947,     2014,     2080,     2141,     2199,     2251,     2296,     2334,     2363,     2382,     2393,     2396,     2392,     2382,     2368,     2350,     2329,     2307,     2284,     2260,     2235,     2211,     2186,     2162,     2137,     2113,     2089,     2065,     2041,     2018,     1995,     1972,     1949,     1927,     1905,     1883,     1861,     1840,     1819,     1798,     1777,     1757,     1737,     1717,     1697,     1678,     1658,     1639,     1620,     1602,     1583,     1565,     1547,     1529,     1512,     1494,     1477,     1460,     1444,     1427,     1411,     1394,     1378,     1362,     1347,     1331,     1316,     1301,     1286,     1271,     1257,     1242,     1228,     1214,     1200,     1186,     1172,     1159,     1146,     1132,     1119,     1107,     1094,     1081,     1069,     1057,     1044,     1032,     1021,     1009,      997,      986,      974,      963,      952,      941,      930,      920,      909,      899,      888,      878,      868,      858,      848,      839,      829,      819,      810,      801,      791,      782,      773,      765,      756,      747,      738,      730,      722,      713,      705,      697,      689,      681,      673,      666,      658,      650,      643,      635,      628,      621,      614,      607,      600,      593,      586,      579,      573,      566,      560,      553,      547,      541,      534,      528,      522,      516,      510,      504,      499,      493,      487,      482,      476,      471,      465,      460,      454,      449,      444,      439,      434,      429,      424,      419,      414,      410,      405,      400,      396,      391,      387,      382,      378,      373,      369,      365,      361,      357
