Manipulation ID: 5808c73b-efe2-4efe-befc-664012d54f61

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
African Grey hornbill [42],911.0,699.0,593.0,486.0,380.0,307.0,244.0,181.0,118.0,54.0,28.0,23.0,17.0,12.0,6.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,18.0,21.0,23.0,26.0,28.0,30.0,33.0,35.0,37.0,41.0,46.0,50.0,55.0,60.0,65.0,73.0,82.0,91.0,100.0,109.0,118.0,127.0,137.0,156.0,176.0,196.0,216.0,236.0,255.0
African fish eagle [53],1159.0,1450.0,1596.0,1742.0,1887.0,1904.0,1883.0,1862.0,1841.0,1820.0,1765.0,1690.0,1615.0,1541.0,1466.0,1398.0,1335.0,1273.0,1211.0,1148.0,1090.0,1042.0,994.0,947.0,899.0,851.0,809.0,772.0,736.0,700.0,664.0,629.0,601.0,573.0,545.0,517.0,490.0,469.0,448.0,427.0,406.0,385.0,364.0,348.0,333.0,319.0,304.0,290.0,275.0,261.0,246.0,232.0,222.0,212.0,202.0,192.0,182.0,173.0,164.0,157.0,151.0,144.0,138.0,131.0,124.0,118.0,111.0,105.0,100.0,96.0,92.0,88.0,84.0,80.0,76.0,72.0,68.0,64.0,61.0,58.0,56.0,54.0,51.0,49.0,47.0,44.0,42.0,40.0,37.0,35.0,34.0,32.0,31.0,29.0,28.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
African marsh owl [49],1211.0,1673.0,1905.0,2136.0,2367.0,2548.0,2713.0,2879.0,3045.0,3211.0,3226.0,3158.0,3091.0,3023.0,2956.0,2861.0,2742.0,2623.0,2504.0,2385.0,2272.0,2173.0,2075.0,1976.0,1878.0,1779.0,1691.0,1615.0,1540.0,1464.0,1388.0,1317.0,1258.0,1199.0,1141.0,1082.0,1025.0,981.0,937.0,893.0,849.0,805.0,760.0,727.0,697.0,667.0,636.0,606.0,576.0,546.0,515.0,485.0,463.0,443.0,422.0,402.0,381.0,361.0,343.0,329.0,315.0,301.0,287.0,273.0,260.0,246.0,232.0,218.0,209.0,201.0,193.0,184.0,176.0,168.0,159.0,151.0,143.0,134.0,126.0,121.0,116.0,111.0,107.0,102.0,97.0,92.0,87.0,82.0,78.0,73.0,70.0,67.0,64.0,61.0,58.0,55.0,51.0,49.0,47.0,45.0,43.0,41.0,39.0,36.0,35.0,33.0,32.0,30.0,29.0,27.0,26.0,25.0,24.0,22.0,21.0,20.0,19.0,18.0,18.0,17.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
Bush hyrax [48],917.0,713.0,611.0,509.0,407.0,333.0,266.0,199.0,132.0,65.0,37.0,31.0,24.0,17.0,11.0,7.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.0,15.0,19.0,22.0,26.0,29.0,32.0,36.0,39.0,42.0,46.0,50.0,64.0,78.0,92.0,106.0,120.0,135.0,149.0,163.0,177.0,191.0,208.0,245.0,282.0,319.0,355.0,392.0,429.0,466.0,506.0,545.0,584.0,623.0,662.0,701.0,741.0,735.0,720.0,706.0,691.0,677.0,662.0,646.0,614.0,582.0,550.0,518.0,486.0,457.0,431.0,404.0,377.0,351.0,329.0,312.0,295.0,278.0,262.0,245.0,228.0,211.0,194.0,177.0,163.0,154.0,144.0,135.0,125.0,116.0,110.0,104.0,98.0,92.0,86.0,80.0,74.0,69.0,66.0,63.0,60.0,58.0,55.0,52.0
Coqui francolin [43],1020.0,1036.0,1044.0,1052.0,1060.0,1026.0,979.0,933.0,886.0,840.0,800.0,764.0,727.0,691.0,655.0,623.0,595.0,567.0,539.0,511.0,484.0,463.0,442.0,421.0,400.0,378.0,359.0,343.0,327.0,311.0,295.0,280.0,267.0,255.0,242.0,230.0,218.0,208.0,199.0,190.0,180.0,171.0,162.0,155.0,148.0,142.0,135.0,129.0,123.0,116.0,110.0,103.0,99.0,94.0,90.0,86.0,81.0,77.0,73.0,70.0,67.0,64.0,61.0,58.0,55.0,53.0,50.0,47.0,45.0,43.0,41.0,39.0,38.0,36.0,34.0,32.0,31.0,29.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dwarf mongoose [50],1070.0,1107.0,1126.0,1145.0,1164.0,1042.0,881.0,720.0,559.0,397.0,303.0,246.0,188.0,131.0,74.0,43.0,35.0,28.0,21.0,13.0,7.0,6.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Four-toed African hedgehog [45],960.0,837.0,776.0,715.0,654.0,567.0,472.0,378.0,283.0,188.0,138.0,112.0,85.0,59.0,33.0,19.0,16.0,13.0,9.0,6.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Grains  seeds [4],803.0,497.0,343.0,190.0,37.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Grass and herbs [5],867.0,674.0,577.0,481.0,384.0,368.0,374.0,381.0,387.0,394.0,411.0,434.0,458.0,481.0,504.0,528.0,552.0,576.0,600.0,624.0,648.0,668.0,689.0,710.0,730.0,751.0,769.0,785.0,801.0,816.0,832.0,846.0,857.0,868.0,880.0,891.0,901.0,908.0,915.0,922.0,929.0,936.0,943.0,947.0,951.0,955.0,958.0,962.0,965.0,969.0,973.0,976.0,978.0,980.0,982.0,983.0,985.0,987.0,988.0,989.0,990.0,991.0,991.0,992.0,993.0,994.0,995.0,995.0,996.0,996.0,996.0,997.0,997.0,997.0,997.0,998.0,998.0,998.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,998.0,998.0,998.0,998.0,998.0,997.0,997.0,997.0,997.0,996.0,996.0,995.0,995.0,994.0,994.0,993.0,992.0,991.0,991.0,990.0,988.0,986.0,985.0,983.0,981.0,979.0,977.0,976.0,974.0,972.0,969.0,965.0,962.0,958.0,954.0,951.0,944.0,937.0,930.0,923.0,916.0,908.0,901.0,893.0,876.0,859.0,842.0,825.0,808.0,791.0
Hooded vulture [51],1191.0,1555.0,1737.0,1919.0,2101.0,2134.0,2124.0,2114.0,2104.0,2094.0,2036.0,1951.0,1866.0,1780.0,1695.0,1617.0,1545.0,1474.0,1402.0,1330.0,1263.0,1208.0,1153.0,1098.0,1043.0,988.0,938.0,896.0,854.0,812.0,770.0,731.0,698.0,666.0,633.0,601.0,569.0,545.0,521.0,496.0,472.0,447.0,423.0,404.0,388.0,371.0,354.0,337.0,321.0,304.0,287.0,270.0,258.0,247.0,236.0,224.0,213.0,202.0,192.0,184.0,177.0,169.0,162.0,154.0,146.0,139.0,131.0,124.0,119.0,115.0,110.0,106.0,102.0,97.0,93.0,89.0,84.0,80.0,76.0,74.0,72.0,70.0,68.0,66.0,64.0,62.0,60.0,58.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,58.0,60.0,63.0,65.0,68.0,70.0,73.0,76.0,80.0,84.0,89.0,93.0,97.0,101.0,104.0,108.0,111.0,114.0,118.0,120.0,122.0,123.0,125.0,127.0,127.0,126.0,125.0,124.0,123.0,122.0,121.0,120.0,119.0,118.0,116.0,113.0,111.0,108.0,105.0,103.0,100.0,97.0,94.0,91.0,88.0,85.0,82.0,79.0,77.0,74.0,72.0,69.0,67.0,64.0
